1,1,34,2023-Fall
2,1,32,2023-Fall
3,1,20,2023-Fall
4,1,42,2023-Fall
5,1,19,2023-Fall
6,1,5,2024-Spring
7,1,41,2024-Spring
8,1,11,2024-Spring
9,1,14,2024-Spring
10,1,20,2024-Spring
11,1,44,2024-Fall
12,1,41,2024-Fall
13,1,43,2024-Fall
14,1,37,2024-Fall
15,1,2,2024-Fall
16,2,43,2023-Fall
17,2,50,2023-Fall
18,2,35,2023-Fall
19,2,33,2023-Fall
20,2,8,2023-Fall
21,2,5,2024-Spring
22,2,45,2024-Spring
23,2,26,2024-Spring
24,2,24,2024-Spring
25,2,4,2024-Spring
26,2,37,2024-Fall
27,2,18,2024-Fall
28,2,19,2024-Fall
29,2,26,2024-Fall
30,2,27,2024-Fall
31,3,19,2023-Fall
32,3,47,2023-Fall
33,3,32,2023-Fall
34,3,41,2023-Fall
35,3,36,2023-Fall
36,3,21,2024-Spring
37,3,48,2024-Spring
38,3,45,2024-Spring
39,3,16,2024-Spring
40,3,17,2024-Spring
41,3,19,2024-Fall
42,3,4,2024-Fall
43,3,2,2024-Fall
44,3,11,2024-Fall
45,3,15,2024-Fall
46,4,6,2023-Fall
47,4,5,2023-Fall
48,4,16,2023-Fall
49,4,50,2023-Fall
50,4,42,2023-Fall
51,4,28,2024-Spring
52,4,39,2024-Spring
53,4,15,2024-Spring
54,4,16,2024-Spring
55,4,50,2024-Spring
56,4,26,2024-Fall
57,4,25,2024-Fall
58,4,18,2024-Fall
59,4,7,2024-Fall
60,4,16,2024-Fall
61,5,29,2023-Fall
62,5,2,2023-Fall
63,5,14,2023-Fall
64,5,40,2023-Fall
65,5,16,2023-Fall
66,5,27,2024-Spring
67,5,48,2024-Spring
68,5,1,2024-Spring
69,5,3,2024-Spring
70,5,20,2024-Spring
71,5,37,2024-Fall
72,5,21,2024-Fall
73,5,12,2024-Fall
74,5,18,2024-Fall
75,5,29,2024-Fall
76,6,29,2023-Fall
77,6,14,2023-Fall
78,6,18,2023-Fall
79,6,36,2023-Fall
80,6,17,2023-Fall
81,6,25,2024-Spring
82,6,12,2024-Spring
83,6,44,2024-Spring
84,6,15,2024-Spring
85,6,14,2024-Spring
86,6,38,2024-Fall
87,6,29,2024-Fall
88,6,44,2024-Fall
89,6,26,2024-Fall
90,6,14,2024-Fall
91,7,35,2023-Fall
92,7,10,2023-Fall
93,7,2,2023-Fall
94,7,46,2023-Fall
95,7,9,2023-Fall
96,7,35,2024-Spring
97,7,32,2024-Spring
98,7,40,2024-Spring
99,7,23,2024-Spring
100,7,22,2024-Spring
101,7,34,2024-Fall
102,7,25,2024-Fall
103,7,45,2024-Fall
104,7,41,2024-Fall
105,7,46,2024-Fall
106,8,5,2023-Fall
107,8,19,2023-Fall
108,8,15,2023-Fall
109,8,2,2023-Fall
110,8,4,2023-Fall
111,8,29,2024-Spring
112,8,19,2024-Spring
113,8,40,2024-Spring
114,8,27,2024-Spring
115,8,33,2024-Spring
116,8,24,2024-Fall
117,8,47,2024-Fall
118,8,18,2024-Fall
119,8,50,2024-Fall
120,8,22,2024-Fall
121,9,47,2023-Fall
122,9,3,2023-Fall
123,9,23,2023-Fall
124,9,10,2023-Fall
125,9,46,2023-Fall
126,9,18,2024-Spring
127,9,2,2024-Spring
128,9,9,2024-Spring
129,9,28,2024-Spring
130,9,31,2024-Spring
131,9,46,2024-Fall
132,9,8,2024-Fall
133,9,28,2024-Fall
134,9,1,2024-Fall
135,9,7,2024-Fall
136,10,40,2023-Fall
137,10,45,2023-Fall
138,10,27,2023-Fall
139,10,46,2023-Fall
140,10,36,2023-Fall
141,10,40,2024-Spring
142,10,44,2024-Spring
143,10,29,2024-Spring
144,10,1,2024-Spring
145,10,9,2024-Spring
146,10,17,2024-Fall
147,10,26,2024-Fall
148,10,28,2024-Fall
149,10,46,2024-Fall
150,10,39,2024-Fall
